Label,Count
Pelodryas caerulea_Green Tree Frog,107
Pedionomus torquatus_Plains Wanderer,154
Pauropsalta mneme_Alarm Clock Squawker,192
Pauropsalta castanea_Flinders Squawker,173
Passer domesticus_House Sparrow,179
Parvipsitta pusilla_Little Lorikeet,160
Pardalotus striatus_Striated Pardalote,267
Pardalotus punctatus_Spotted Pardalote,311
Paracrinia haswelli_Haswell's Froglet,41
Pandion cristatus_Eastern Osprey,109
Palapsalta circumdata_Bronze Tree-Buzzer,108
Pachycephala rufiventris_Rufous Whistler,295
Pachycephala pectoralis_Golden Whistler,289
Pachycephala inornata_Gilberts Whistler,127
Ovis aries_Sheep,254
Orthonyx temminckii_Australian Logrunner,150
Oriolus sagittatus_Olive-backed Oriole,305
Origma solitaria_Rockwarbler,100
Oreoica gutturalis_Crested Bellbird,113
Oecanthus angustus_Common Tree Cricket,177
Ocyphaps lophotes_Crested Pigeon,252
Nymphicus hollandicus_Cockatiel,169
Notaden bennettii_Crucifix Frog,22
Northiella haematogaster_Greater Bluebonnet,174
Ninox strenua_Powerful Owl,303
Ninox connivens_Barking Owl,321
Ninox boobook_Australian Boobook,313
Nesoptilotis leucotis_White-eared Honeyeater,60
Neosericornis citreogularis_Yellow-throated Scrubwren,177
Neopsephotus bourkii_Bourke's Parrot,144
Neophema pulchella_Turquoise Parrot,128
Neophema chrysostoma_Blue-winged Parrot,62
Neochmia temporalis_Red-browed Finch,259
Neobatrachus sudellae_Sudell's Frog,99
Myzomela sanguinolenta_Scarlet Myzomela,275
Myopsalta mackinlayi_Fence Buzzer,89
Myiagra rubecula_Leaden Flycatcher,143
Myiagra inquieta_Restless Flycatcher,153
Monarcha melanopsis_Black-faced Monarch,165
Mirafra javanica_Singing Bushlark,120
Milvus migrans_Black Kite,147
Microeca fascinans_Jacky Winter,302
Microcarbo melanoleucos_Little Pied Cormorant,133
Merops ornatus_Rainbow Bee-eater,251
Menura novaehollandiae_Superb Lyrebird,272
Melopsittacus undulatus_Budgerigar,300
Melithreptus lunatus_White-naped Honeyeater,149
Melithreptus gularis_Black-chinned Honeyeater,168
Melithreptus brevirostris_Brown-headed Honeyeater,140
Meliphaga lewinii_Lewin's Honeyeater,267
